utt_id,wav_path,word_index,word_text,t_start,t_end,duration,ipa_canonical,mfa_phones,asr_phones
71030,C:\PY\pronuncise_research\mfa_corpus_german\71030.wav,10,sich,4.820,5.220,0.400,z ɪ ç,z ɪ ç,ts ə1 ɕ
71030,C:\PY\pronuncise_research\mfa_corpus_german\71030.wav,11,immer,5.220,5.650,0.430, ɪ m ɜ,ɪ m ɐ,m aː
71030,C:\PY\pronuncise_research\mfa_corpus_german\71030.wav,12,weiter,5.650,5.940,0.290,v aɪ t ɜ,v aj tʰ ɐ,v aɪ t ɑ
71030,C:\PY\pronuncise_research\mfa_corpus_german\71030.wav,13,und,5.940,6.060,0.120, ʊ n t,ʊ n,
71030,C:\PY\pronuncise_research\mfa_corpus_german\71030.wav,14,weiter,6.060,6.310,0.250,v aɪ t ɜ,v aj tʰ ɐ,m aː t u
71030,C:\PY\pronuncise_research\mfa_corpus_german\71030.wav,15,verbreiten,6.310,6.940,0.630,f ɛ ɾ b ɾ aɪ t ə n,f ɛ ɐ b ʁ aj tʰ ə n,s o b a t n iː
71096,C:\PY\pronuncise_research\mfa_corpus_german\71096.wav,0,ich,1.630,1.810,0.180, ɪ ç,ɪ ç,
71096,C:\PY\pronuncise_research\mfa_corpus_german\71096.wav,1,mag,1.810,1.980,0.170,m ɑː k,m aː k,l a
71096,C:\PY\pronuncise_research\mfa_corpus_german\71096.wav,2,am,1.980,2.100,0.120, a m,a m,a
71096,C:\PY\pronuncise_research\mfa_corpus_german\71096.wav,3,liebsten,2.100,2.390,0.290,l iː b s t ə n,l iː p s t n̩,l e s
71096,C:\PY\pronuncise_research\mfa_corpus_german\71096.wav,4,den,2.390,2.540,0.150,d eː n,d ɛ n,a
71096,C:\PY\pronuncise_research\mfa_corpus_german\71096.wav,5,herbst,2.540,3.080,0.540,h ɛ ɾ p s t,h ɛ ʁ p s t,h æ p s
71096,C:\PY\pronuncise_research\mfa_corpus_german\71096.wav,6,weil,3.740,4.250,0.510,v aɪ l,v aj l,v aɪ r
71096,C:\PY\pronuncise_research\mfa_corpus_german\71096.wav,7,alles,4.250,4.870,0.620, a l ə s,a l ə s,n p æ l ə s
71096,C:\PY\pronuncise_research\mfa_corpus_german\71096.wav,8,schön,4.870,5.140,0.270,ʃ øː n,ʃ øː n,s. əɜ n
71096,C:\PY\pronuncise_research\mfa_corpus_german\71096.wav,9,bunt,5.140,5.440,0.300,b ʊ n t,b ʊ n t,p o n
71096,C:\PY\pronuncise_research\mfa_corpus_german\71096.wav,10,ist,5.440,5.870,0.430, ɪ s t,ɪ s t,e s t
71096,C:\PY\pronuncise_research\mfa_corpus_german\71096.wav,11,und,5.870,6.070,0.200, ʊ n t,ʊ n t,w
71096,C:\PY\pronuncise_research\mfa_corpus_german\71096.wav,12,weil,6.070,6.220,0.150,v aɪ l,v aj l,a
71096,C:\PY\pronuncise_research\mfa_corpus_german\71096.wav,13,es,6.220,6.400,0.180, ɛ s,ə s,s
71096,C:\PY\pronuncise_research\mfa_corpus_german\71096.wav,14,viel,6.400,6.660,0.260,f iː l,f iː l,s. i5 n
71096,C:\PY\pronuncise_research\mfa_corpus_german\71096.wav,15,zu,6.660,6.830,0.170,ts uː,ts ə,s o
71096,C:\PY\pronuncise_research\mfa_corpus_german\71096.wav,16,essen,6.830,7.190,0.360, ɛ s ə n,ɛ s ə n,e s ə
71096,C:\PY\pronuncise_research\mfa_corpus_german\71096.wav,17,gibt,7.190,7.630,0.440,ɡ iː p t,ɟ iː p t,ɪ p t
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,0,mein,1.730,1.970,0.240,m aɪ n,m aj n,m ai5
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,1,lieblingsgetränk,1.970,2.710,0.740,l iː b l ɪ ŋ s ɡ ə t ɾ ɛ ŋ k,spn,l iː b d ɪ ŋ s ɡ ə t r ɪ ŋ
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,2,ist,2.710,2.990,0.280, ɪ s t,ɪ s t,s
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,3,mineralwasser,2.990,3.820,0.830,m iː n eː r a l v a s ɜ,m ɪ n ɛ ʁ aː l v a s ɐ,m i n a k a t w ɑ s əɜ
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,4,ganz,3.920,4.160,0.240,ɡ a n ts,ɡ a n ts,k a
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,5,normales,4.160,4.500,0.340,n ɔ ɾ m ɑː l ə s,n ɔ m aː l ə s,a m a r
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,6,mineralwasser,4.500,5.320,0.820,m iː n eː r a l v a s ɜ,m ɪ n ɛ ʁ aː l v a s ɐ,m i n x a l b a s ə
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,7,sprudelwasser,5.710,6.870,1.160,ʃ p ɾ uː d ə l v a s ɜ,ʃ p ʁ uː d ə l v a s ɐ,ʃ p uː d i k a s ɛ a
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,8,mit,6.900,7.040,0.140,m ɪ t,m ɪ t,m i
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,9,kohlensäure,7.040,7.570,0.530,k oː l ə n z ɔø r ə,kʰ oː l n̩ z ɔʏ ʁ ə,kh ə5 n ts ə1 ʐ i.5
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,10,ich,7.570,7.690,0.120, ɪ ç,ɪ ç,
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,11,meine,7.690,7.880,0.190,m aɪ n ə,m aj n ə,m a d
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,12,ich,7.880,8.020,0.140, ɪ ç,ɪ ç,s
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,13,würde,8.020,8.130,0.110,v ʏ ɾ d ə,v ʏ ʁ d ə,i
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,14,es,8.130,8.190,0.060, ɛ s,ə s,
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,15,auch,8.190,8.300,0.110, aʊ x,aw x,
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,16,ohne,8.330,8.510,0.180, oː n ə,oː n ə,w a
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,17,kohlensäure,8.510,8.970,0.460,k oː l ə n z ɔø r ə,kʰ oː l n̩ z ɔʏ ʁ ə,k w o n z a
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,18,trinken,8.970,9.400,0.430,t ɾ ɪ ŋ k ə n,t ʁ ɪ ŋ kʰ n̩,t r iː n j a ħ a
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,19,aber,9.440,9.570,0.130, ɑː b ɜ,a b ɐ,
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,20,mit,10.000,10.290,0.290,m ɪ t,m ɪ t,m i t
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,21,sprudel,10.290,10.770,0.480,ʃ p ɾ uː d ə l,ʃ p ʁ uː d ə l,p oʊ d ə
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,22,ich,10.770,10.900,0.130, ɪ ç,ɪ ç,e s
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,23,weiß,10.900,11.130,0.230,v aɪ s,spn,a z
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,24,auch,11.130,11.170,0.040, aʊ x,aw x,
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,25,nicht,11.170,11.360,0.190,n ɪ ç t,n ɪ ç t,l i s
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,26,ist,11.360,11.770,0.410, ɪ s t,ɪ s,ɪ s
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,27,so,11.770,11.880,0.110,z oː,z oː,s
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,28,eine,12.010,12.140,0.130, aɪ n ə,aj n ə,ħ a
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,29,gewohnheitssache,12.140,13.510,1.370,ɡ ə v oː n h aɪ t s a x ə,spn,ɪ s ə n k uː n h a ts a x a
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,30,aber,13.510,13.690,0.180, ɑː b ɜ,a b ɐ,b a
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,31,wasser,13.690,14.060,0.370,v a s ɜ,v a s ɐ,s ə
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,32,ist,14.060,14.460,0.400, ɪ s t,ɪ s,ei5 s əɜ
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,33,auch,15.170,15.500,0.330, aʊ x,aw x,a
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,34,wenn,15.500,15.570,0.070,v ɛ n,v ɛ n,
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,35,man,15.570,15.710,0.140,m a n,m a n,b a
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,36,jetzt,15.710,15.880,0.170,j ɛ ts t,j ɛ ts,j e t
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,37,sagt,15.880,16.100,0.220,z ɑː k t,z aː k t,a t
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,38,das,16.300,16.540,0.240,d a s,d aː s,d ə s
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,39,hat,16.540,16.640,0.100,h a t,h a t,a
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,40,ja,16.640,16.730,0.090,j ɑː,j aː,
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,41,keinen,16.730,17.000,0.270,k aɪ n ə n,kʰ aj n n̩,k aɪ n
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,42,geschmack,17.000,17.510,0.510,ɡ ə ʃ m a k,ɡ ə ʃ m a k,ʊ s m a k eː
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,43,an,17.510,17.610,0.100, a n,a n,
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,44,sich,17.610,17.860,0.250,z ɪ ç,z ɪ ç,s e ʃ
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,45,mein,18.380,18.470,0.090,m aɪ n,m aj n,i
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,46,lieblingsgetränk,18.470,19.070,0.600,l iː b l ɪ ŋ s ɡ ə t ɾ ɛ ŋ k,spn,s i a n
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,47,ist,19.660,19.770,0.110, ɪ s t,ɪ s,
71254,C:\PY\pronuncise_research\mfa_corpus_german\71254.wav,48,wasser,19.770,21.100,1.330,v a s ɜ,v a s ɐ,ɛ l iː b l ɪ ŋ s ɡ ɪ t r ɪ ŋ k ɪ s v a s ə
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,0,wenn,1.740,1.860,0.120,v ɛ n,v ɛ n,a
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,1,man,1.860,1.960,0.100,m a n,m a n,a
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,2,mich,1.960,2.110,0.150,m ɪ ç,m ɪ ç,e s
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,3,fragt,2.110,2.370,0.260,f r ɑː k t,f ʁ aː k t,v ɑ
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,4,welches,2.370,2.700,0.330,v ɛ l ç ə s,v ɛ l ç ə s,w a h i z
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,5,tier,2.700,3.150,0.450,t iː ɾ,tʰ iː ɐ,th j iɛ5
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,6,ich,3.150,3.410,0.260, ɪ ç,ɪ ç,ɕ
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,7,am,3.410,3.500,0.090, a m,a m,
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,8,meisten,3.500,4.020,0.520,m aɪ s t ə n,m aj s t n̩,m aɪ s t
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,9,mag,4.020,4.270,0.250,m ɑː k,m aː k,m h a t
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,10,und,4.270,4.440,0.170, ʊ n t,ʊ n,a d
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,11,warum,4.440,4.880,0.440,v ɑː r ʊ m,v aː ʁ ʊ m,ɹ n
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,12,das,5.200,5.530,0.330,d a s,d aː s,t aː z ə d
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,13,kann,5.530,5.680,0.150,k a n,kʰ a n,th a n
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,14,ich,5.680,5.740,0.060, ɪ ç,ɪ ç,
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,15,nicht,5.740,5.920,0.180,n ɪ ç t,n ɪ ç,m i ʃ
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,16,beantworten,5.920,6.340,0.420,b ə a n t v ɔ ɾ t ə n,b ə a n t v ɔ ʁ tʰ n̩,p a5 n f uoɜ t
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,17,ich,6.340,6.480,0.140, ɪ ç,ɪ ç,i s
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,18,mag,6.480,6.660,0.180,m ɑː k,m aː k,m a
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,19,alle,6.660,6.840,0.180, a l ə,a l ə,a l
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,20,tiere,6.840,7.200,0.360,t iː r ə,tʰ iː ʁ ə,t i r ɑ
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,21,auf,7.200,7.410,0.210, aʊ f,aw f,
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,22,gleiche,7.470,7.850,0.380,ɡ l aɪ ç ə,ɡ l aj ç ə,l ai5 ɕ iɑ5
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,23,art,7.850,7.990,0.140, a ɾ t,aː ɐ t,t
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,24,und,7.990,8.110,0.120, ʊ n t,ʊ n t,
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,25,weise,8.110,8.480,0.370,v aɪ z ə,v aj z ə,aɪ z ə
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,26,natürlich,8.810,9.210,0.400,n ɑː t yː ɾ l ɪ ç,n a tʰ yː l ɪ ç,n a t r i ʃ
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,27,hat,9.210,9.420,0.210,h a t,h a t,a
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,28,man,9.420,10.360,0.940,m a n,m a n,a n a m
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,29,durch,10.630,10.840,0.210,d ʊɐ ç,d ʊ ɐ ç,t oɪ
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,30,seine,10.840,11.240,0.400,z aɪ n ə,z aj n ə,a5 n
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,31,lebenserfahrung,11.460,12.280,0.820,l eː b ə n z ɜ f ɑː r ʊ ŋ,l eː b n̩ s ɛ ɐ f aː ʁ ʊ ŋ,l iː b ə n ts ɛ ɾ f a h ʊ
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,32,denke,12.280,12.490,0.210,d ɛ ŋ k ə,d ɛ ŋ kʰ ə,ai5 n
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,33,ich,12.490,12.580,0.090, ɪ ç,ɪ ç,s
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,34,mal,12.580,12.730,0.150,m ɑː l,m aː l,m a
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,35,mehr,12.730,12.950,0.220,m eː ɾ,m eː ɐ,m i
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,36,mit,12.950,13.230,0.280,m ɪ t,m ɪ t,m ɹ ɪ s
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,37,katzen,13.940,14.490,0.550,k a ts ə n,kʰ a ts ə n,k a ts ə n h
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,38,hunden,14.490,15.180,0.690,h ʊ n d ə n,h ʊ n d ə n,h u n n
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,39,terrariumtieren,16.010,17.140,1.130,t ɛ r a r iː ʊ m t iː r ə n,spn,eː m a m t eː r a r j uː n
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,40,weiß,17.140,17.860,0.720,v aɪ s,spn,th i5 əɜ n
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,41,ich,18.600,18.750,0.150, ɪ ç,ɪ ç,s
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,42,nicht,18.750,18.890,0.140,n ɪ ç t,n ɪ ç,
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,43,kaninchen,18.890,19.530,0.640,k ɑ n ɪ n ç ə n,kʰ a n iː ɲ ç ə n,k a5 n i5 n tɕh əɜ
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,44,sowas,19.530,19.970,0.440,z oː v ɑː s,z oː v a s,z e b aː s
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,45,was,20.000,20.910,0.910,v a s,v a s,a m v a s v a s a s
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,46,menschen,20.910,21.470,0.560,m ɛ n ʃ ə n,m ɛ n ʃ ə n,m ɛ n ʃ t
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,47,halt,21.470,21.690,0.220,h a l t,h a l t,a l k
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,48,in,21.990,22.280,0.290, ɪ n,ɪ n,m
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,49,der,22.310,22.560,0.250,d ɛ ɾ,d eː ʁ,d i
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,50,näheren,22.560,22.860,0.300,n ɛː ə r ə n,n eː ə ʁ ə n,m eɪ x ə n
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,51,umgebung,22.860,23.290,0.430, ʊ m ɡ eː b ʊ ŋ,ʊ m ɟ eː b ʊ ŋ,ɡ eː v ə ŋ
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,52,so,23.290,23.400,0.110,z oː,z oː,
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,53,zu,23.400,23.570,0.170,ts uː,ts uː,s a
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,54,hause,23.570,23.830,0.260,h aʊ z ə,h aw z ə,a z
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,55,haben,23.830,24.140,0.310,h ɑː b ə n,h aː b n̩,h a b ə n
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,56,nager,24.650,25.350,0.700,n ɑː ɡ ɜ,n aː ɡ ɐ,n ɑ5 k ə1
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,57,irgendwie,25.900,26.920,1.020, ɪ ɾ ɡ ə n d v iː,ɪ ɐ ɡ n̩ d v iː,aː e ŋ f i
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,58,ein,26.920,26.980,0.060, aɪ n,n̩,
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,59,besseres,26.980,27.370,0.390,b ɛ s ə r ə s,b ɛ s ə ʁ ə s,d ɛ s ə l ə
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,60,verhältnis,27.370,27.790,0.420,f ɛ ɾ h ɛ l t n ɪ s,f ɛ ɐ h ɛ l t n ɪ s,f a h iː k n
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,61,als,27.790,28.030,0.240, a l s,a l s,a5 n
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,62,jetzt,28.030,28.240,0.210,j ɛ ts t,j ɛ ts t,ɪ t
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,63,mit,28.240,28.460,0.220,m ɪ t,m ɪ t,m i
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,64,keine,28.460,28.670,0.210,k aɪ n ə,kʰ aj n ə,ai5 n
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,65,ahnung,28.670,29.030,0.360, ɑː n ʊ ŋ,aː n ʊ ŋ,a n u
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,66,löwen,29.710,29.830,0.120,l øː v ə n,l øː v n,
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,67,giraffen,29.830,30.190,0.360,ɡ iː r a f ə n,ɟ ɪ ʁ a f ə n,
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,68,keine,30.430,30.680,0.250,k aɪ n ə,kʰ aj n ə,ħ
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,69,ahnung,30.680,30.970,0.290, ɑː n ʊ ŋ,aː n ʊ ŋ,a p i l d a
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,70,solchen,30.970,31.330,0.360,z oː l ç ə n,z ɔ l ç ə n,œ s ə n
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,71,tieren,31.330,31.470,0.140,t iː r ə n,tʰ iː ɐ n,t iɜ
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,72,exotischere,31.470,33.240,1.770, ɛ k s oː t ɪ ʃ ə r ə,spn,t ɑː f ə n ə k aɪ n a ə ɔ z aɪ ç ə n t ə t iː
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,73,tiere,33.240,33.500,0.260,t iː r ə,tʰ iː ʁ ə,tɕh iɛ5 n
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,74,oder,33.500,33.690,0.190, oː d ɜ,oː d ɐ,a
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,75,hier,33.720,33.810,0.090,h iː ɾ,ç iː ɐ,
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,76,auch,33.810,33.850,0.040, aʊ x,aw x,
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,77,wildtiere,33.850,34.410,0.560,v ɪ l t iː r ə,v ɪ l tʰ iː ʁ ə,k s oʊ d i ʃ e r e
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,78,wildschweine,34.410,36.380,1.970,v ɪ l t ʃ v aɪ n ə,v ɪ l t ʃ v aj n ə,t iː r ə n oː d ə h iː aʊ x v ɪ l t iː r b ɪ r ɪ tʃ p aɪ n ə
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,79,dachs,36.860,37.100,0.240,d a x s,d a x s,m
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,80,fuchs,37.270,37.740,0.470,f ʊ x s,f ʊ k s,d a k s ə
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,81,keine,38.340,38.590,0.250,k aɪ n ə,kʰ aj n ə,th ai5 n əɜ
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,82,ahnung,38.590,38.900,0.310, ɑː n ʊ ŋ,aː n ʊ ŋ,a l onɡ5
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,83,aber,39.390,39.900,0.510, ɑː b ɜ,a b ɐ,a b a m
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,84,mögen,39.940,40.290,0.350,m øː ɡ ə n,m øː ɡ n̩,n ʉ
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,85,tue,40.290,40.440,0.150,t uː ə,tʰ uː ə,ɕ y5
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,86,ich,40.440,40.500,0.060, ɪ ç,ɪ ç,
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,87,es,40.500,40.570,0.070, ɛ s,ə s,
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,88,allesamt,40.570,41.190,0.620, a l eː z a m t,a l ə z a m t,a l ə z a m t
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,89,also,41.220,41.490,0.270, a l z oː,a l z oː,a z u
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,90,würde,41.880,42.120,0.240,v ʏ ɾ d ə,v ʏ ʁ d ə,b y ɭʲ
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,91,ich,42.120,42.220,0.100, ɪ ç,ɪ ç,s
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,92,sagen,42.220,42.610,0.390,z ɑː ɡ ə n,z aː ɡ n̩,s ʌ n
71255,C:\PY\pronuncise_research\mfa_corpus_german\71255.wav,93,ja,44.040,44.380,0.340,j ɑː,j aː,j iɑ5
71257,C:\PY\pronuncise_research\mfa_corpus_german\71257.wav,0,was,1.980,2.340,0.360,v a s,v a s,a m a
71257,C:\PY\pronuncise_research\mfa_corpus_german\71257.wav,1,ich,2.340,2.480,0.140, ɪ ç,ɪ ç,i s
71257,C:\PY\pronuncise_research\mfa_corpus_german\71257.wav,2,im,2.480,2.560,0.080, ɪ m,ɪ m,
71257,C:\PY\pronuncise_research\mfa_corpus_german\71257.wav,3,alltag,2.560,3.010,0.450, a l t ɑː k,a l tʰ aː k,th a5
